"","titulo","texto"
"1","Casaqueto Tricot Elisa - Azul Curaçau ","Camisa Cropped De Manga Curta Em Tricot Com Mix De Luréx E Rayon. Possui Modelagem Ajustada Ao Corpo Com Fechamento Frontal Por Botões De Resina. 
Composição: 84% VISCOSE 16% POLIESTER"
"2","Cropped Tricot Julia - Azul Curaçau ","Cropped Em Tricot Com Mix De Luréx E Rayon. Possui Forro Em Malha. Composição: 84% VISCOSE 12% POLIAMIDA 4% ELASTANO - FORRO: 100% POLIAMIDA"
"3","Calça Tricot Valeria - Azul Curaçau ","Calça Em Tricot Com Mix De Luréx E Rayon. Possui Modelagem Cenoura- Cós Aplicado Com Detalhe Em Amarração Frontal- Bolso Faca E Forro Curto Em Malha. Composição: 66% VISCOSE 25% POLIAMIDA 9% ELASTANO - FORRO: 100% POLIAMIDA"
"4","Body Tricot Sayonara - Vermelho Berry ","T-Shirt Tie Dye Oversized. Possui Estampa Localizada Com Efeito Desgastado. Obs: Como O Processo De Tingimento É Manual, As Peças Podem Sofrer Variação. 
Composição: 100% ALGODÃO"
"5","Cropped Tricot Julia - Marrom Conhaque ","Cropped Em Tricot Com Mix De Luréx E Rayon. Possui Forro Em Malha. Composição: 84% VISCOSE 12% POLIAMIDA 4% ELASTANO - FORRO: 100% POLIAMIDA"
"6","Casaqueto Tricot Elisa - Marrom Conhaque ","Camisa Cropped De Manga Curta Em Tricot Com Mix De Luréx E Rayon. Possui Modelagem Ajustada Ao Corpo Com Fechamento Frontal Por Botões De Resina. 
Composição: 84% VISCOSE 16% POLIESTER"
"7","Calça Tricot Valeria - Marrom Conhaque ","Calça Em Tricot Com Mix De Luréx E Rayon. Possui Modelagem Cenoura- Cós Aplicado Com Detalhe Em Amarração Frontal- Bolso Faca E Forro Curto Em Malha. Composição: 66% VISCOSE 25% POLIAMIDA 9% ELASTANO - FORRO: 100% POLIAMIDA"
"8","Body Tricot Sayonara - Preto ","T-Shirt Tie Dye Oversized. Possui Estampa Localizada Com Efeito Desgastado. Obs: Como O Processo De Tingimento É Manual, As Peças Podem Sofrer Variação. 
Composição: 100% ALGODÃO"
"9","Vestido Doris - Est. Garden Cream ","Vestido Longo Em Linho Estampado. Possui Modelagem Ampla, Manga E Saia Com Babados. Decote Em V Com Fechamento Por Rolote. Composição: 70% VISCOSE 30% LINHO"
"10","Cropped Romana - Amarelo Pina ","Cropped Em Linho Com Decote Reto. Possui Acabamento Em Babados E Fechamento Posterior Por Zíper De Metal. Composição: 70% VISCOSE 30% LINHO"
"11","Cropped Sarah - Vermelho Berry ","Cropped Em Crepe De Acetato E Decote Reto. Possui Babado Na Barra E No Busto. Fechamento Posterior Por Zíper De Metal. Composição: 71% ACETATO - 29% VISCOSE"
"12","Cropped Romana - Rosa Gum ","Cropped Em Linho Com Decote Reto. Possui Acabamento Em Babados E Fechamento Posterior Por Zíper De Metal. Composição: 70% VISCOSE 30% LINHO"
"13","Cropped Romana - Roxo Violeta ","Cropped Em Linho Com Decote Reto. Possui Acabamento Em Babados E Fechamento Posterior Por Zíper De Metal. Composição: 70% VISCOSE 30% LINHO"
"14","Cropped Romana - Off White ","Cropped Em Linho Com Decote Reto. Possui Acabamento Em Babados E Fechamento Posterior Por Zíper De Metal. Composição: 70% VISCOSE 30% LINHO"
"15","Saia Tricot Sandra - Preto "," Tricot  atualizado com toque extra de feminilidade! A Saia Sandra chega com a alegria do Amarelo Dijon em ponto mesclado. Com shape mini, modelagem evasê e babados na barra, a peça é super versátil e não contém forro. Combine com  Cropped Tricot Ornela e  Casaqueto Tricot Leandra para conjunto cheio de personalidade, ou aposte produções desconstruídas com toque cool. 

Composição: 50% acrílico; 50% algodão"
"16","Cropped Tricot Ornela - Preto "," Tricot atualizado com toque extra de feminilidade! O Cropped Ornella chega com a alegria do do  Amarelo Dijon em ponto mesclado e acabamento em ponto manual contrastante Vermelho Berry. Com alças grossas, modelagem cropped e babados na barra, a peça é super versátil. Combine com  Saia Tricot Sandra e  Casaqueto Tricot Leandrapara conjunto cheio de personalidade, ou aposte em produções desconstruídas com toque cool. 

Composição: 50% acrílico; 50% algodão"
"17","Cropped Romana - Verde Army ","Cropped Em Linho Com Decote Reto. Possui Acabamento Em Babados E Fechamento Posterior Por Zíper De Metal. Composição: 70% VISCOSE 30% LINHO"
"18","Colete Jeans Nanda - Amarelo Dijon ","Uma peça que é sinônimo de estilo e personalidade! Com modelagem  croppeds e bolsos frontais, o Colete Nanda pode ser usado como  blusa  com todos os botões fechados, ou como  terceira peça para complementar suas produções. Destaque para o acabamento frontal geométrico em ponta, que dá toque moderno e super cool ao look. 

Composição: 100% algodão"
"19","Calça Jeans Regiane - Jeans Escuro ","Calça Jeans De Cintura Alta Com Modelagem Ampla. Possui Fechamento Frontal Por Zíper e Botão. Composição: 100% ALGODÃO"
"20","Vestido Abi - Amarelo Dijon ","Vestido Longo em Algodão Com Modelagem Ampla. Possui Decote em V. Franzido No Busto e Corpo. Fechamento Posterior por Botões. Composição: 97% ALGODÃO 3% ELASTANO"
"21","Camisa Francesca - Azul Curaçau ","Clássico atualizado! A camisaria chega no nosso Verão 22 com proposta moderna e fora do óbvio. Em algodão leve, com mangas curtas e shape oversized, a Camisa Francesca possui gola tradicional, bolso frontal do lado esquerdo e fechamento por botões de resina. Combine com shorts para proposta despretensiosa, perfeita para a estação. E que tal finalizar o look com cintos NVpara um toque de personalidade extra? 

Composição: 97% algodão; 3% elastano"
"22","Colete Jeans Nanda - Jeans Delave ","Uma peça que é sinônimo de estilo e personalidade! Com modelagem  croppeds e bolsos frontais, o Colete Nanda pode ser usado como  blusa  com todos os botões fechados, ou como  terceira peça para complementar suas produções. Destaque para o acabamento frontal geométrico em ponta, que dá toque moderno e super cool ao look. 

Composição: 100% algodão"
"23","Camisa Claire - Azul Curaçau ","Camisa Em Linho Com Modelagem Reta De Manga Longa. Fechamento Frontal Por Botões. Composição: 70% VISCOSE 30% LINHO"
"24","Saia Tricot Sandra - Amarelo Dijon "," Tricot  atualizado com toque extra de feminilidade! A Saia Sandra chega com a alegria do Amarelo Dijon em ponto mesclado. Com shape mini, modelagem evasê e babados na barra, a peça é super versátil e não contém forro. Combine com  Cropped Tricot Ornela e  Casaqueto Tricot Leandra para conjunto cheio de personalidade, ou aposte produções desconstruídas com toque cool. 

Composição: 50% acrílico; 50% algodão"
