nome_perfil,engajamento,engajamento_esperado_categoria_influencer,performance_perfil
bermudaisbae,"7,84%","2,05%",High Performance
amara_gram,"7,46%","2,15%",High Performance
bee_nfluencer,"6,90%","2,05%",High Performance
blawko22,"4,82%","2,05%",High Performance
fnmeka,"3,41%","2,05%",Good Performance
anna_cattish,"3,01%","2,05%",Good Performance
janky,"2,34%","2,05%",Good Performance
noonoouri,"2,18%","2,05%",Good Performance
shudu.gram,"2,02%","2,05%",Bad Performance
imma.gram,"2,02%","2,05%",Bad Performance
lilmiquela,"2,00%","1,97%",Good Performance
livinthefuture,"16,92%","2,05%",High Performance
guggimon,"1,44%","1,97%",Bad Performance
bodybyralph,"1,16%","2,05%",Bad Performance
knoxfrost,"1,09%","2,05%",Bad Performance
thalasya_,"1,01%","2,05%",Bad Performance
barbie,"0,99%","1,97%",Bad Performance
anymalu_real,"0,63%","2,05%",Bad Performance
magazineluiza,"0,10%","1,97%",Bad Performance
